L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.580317,0.756414,0.758088,0.713545,0.56764,0.793958,0.794941,0.751803,0.564097,0.542556,0.59009,0.645984,0.404779,0.436124,0.387487,0.331638,0.215259,0.082395,0.090506,0.084882,0.077971,0.051486,0.060464,0.043109
0.587801,0.766647,0.768108,0.723498,0.564515,0.790832,0.791812,0.748669,0.564042,0.54319,0.590702,0.646504,0.40482,0.436111,0.387492,0.331641,0.210238,0.080872,0.089127,0.082711,0.077991,0.051442,0.060432,0.043102
0.595455,0.77699,0.778228,0.733567,0.56139,0.787707,0.788687,0.745533,0.564014,0.543865,0.591355,0.647062,0.404867,0.436098,0.387495,0.331646,0.205169,0.079368,0.087756,0.080542,0.07801,0.051396,0.0604,0.043096
0.603279,0.78744,0.788443,0.743752,0.558264,0.784583,0.785567,0.742392,0.564017,0.544578,0.592049,0.647658,0.404921,0.436083,0.387497,0.331651,0.200062,0.077891,0.086402,0.078385,0.078029,0.051349,0.06037,0.043088
0.611278,0.797992,0.79875,0.754053,0.555138,0.781459,0.782452,0.739247,0.564056,0.545327,0.592781,0.648289,0.40498,0.436068,0.387497,0.331656,0.194926,0.076454,0.085075,0.076249,0.078047,0.051299,0.060339,0.04308
0.61945,0.808642,0.809144,0.764469,0.55201,0.778336,0.77934,0.736098,0.564138,0.546109,0.593549,0.648955,0.405046,0.436051,0.387494,0.331663,0.189772,0.075069,0.083788,0.074147,0.078068,0.051249,0.06031,0.043071
0.627795,0.819383,0.819622,0.774998,0.54888,0.77521,0.776229,0.732943,0.564268,0.546921,0.594352,0.649657,0.405117,0.436033,0.38749,0.331669,0.184611,0.073748,0.082554,0.072093,0.07809,0.051196,0.06028,0.043062
0.636307,0.830208,0.830179,0.785637,0.545748,0.772082,0.773117,0.729784,0.564455,0.547761,0.595186,0.650393,0.405192,0.436014,0.387483,0.331675,0.179454,0.072507,0.081387,0.0701,0.078117,0.051141,0.06025,0.043051
0.644979,0.84111,0.84081,0.796383,0.542615,0.76895,0.770002,0.726621,0.564708,0.548625,0.59605,0.651162,0.405272,0.435995,0.387474,0.331681,0.174313,0.071358,0.080303,0.068186,0.078147,0.051084,0.060218,0.04304
0.653801,0.852078,0.851508,0.807231,0.53948,0.765812,0.766884,0.723453,0.565036,0.549511,0.59694,0.651963,0.405355,0.435975,0.387464,0.331687,0.169202,0.070318,0.079319,0.066367,0.078182,0.051025,0.060184,0.043028
0.662761,0.863101,0.862265,0.818174,0.536344,0.762669,0.76376,0.720283,0.565448,0.550413,0.597853,0.652796,0.40544,0.435956,0.387453,0.331692,0.164134,0.069401,0.078451,0.064659,0.078222,0.050964,0.060148,0.043014
